gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8681807005010,,Sinus Box Burun ve Sinüs Temizleme Kiti 25 Saşe,MCG PHARMA,Sağlık Ve Medikal > Burun Açıcı Ürünler,99,2,t,sinus-box-burun-ve-sinus-temizleme-kiti-25-sase
8683060570083,,Bisolnatur Şurup 94 ml,SANOFI,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme,99,2,t,bisolnatur-surup-94-ml
8698751000481,,Outlet - Vitmix Focus 150 ml,,Outlet Ürünler > OUTLET - Besin Takviyeleri,99,1,t,outlet-vitmix-focus-150-ml
9002969872279,,Hyper C Plus Efervesan 2x10 Tablet,Hiper Farma,Besin Takviyeleri > Vitaminler > C Vitaminleri,98,1,t,hyper-c-plus-efervesan-2x10-tablet
8697595870617,,Ocean Imunol Şurup 150ml,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Bebek & Çocuklar İçin Bağışıklık Güçlendirme,97,2,t,ocean-imunol-surup-150ml
7640128141006,,New Life B12 Plus 60 Tablet,New Life,Besin Takviyeleri > Vitaminler > B Vitamin Complex % B12,96,1,t,new-life-b12-plus-60-tablet
810071800399,,Breathe Right Orijinal Küçük/Orta Burun Bandı 10 Adet,Breath Right,Sağlık Ve Medikal > Horlama Önleyiciler,95,1,t,breathe-right-orijinal-kucukorta-burun-bandi-10-adet
8684674069109,,Voonka Collagen Beauty Plus - Karpuz Çilek Aromalı - 300gr,Voonka,Besin Takviyeleri > Kolajen,95,2,t,voonka-collagen-beauty-plus-karpuz-cilek-aromali-300gr
8683229603713,,Joy Drops Kayganlaştırıcı Jel Çikolata Aromalı 125 ml,,Sağlık Ve Medikal > Cinsel Sağlık Ürünleri > Masaj Yağları,95,2,t,joy-drops-kayganlastirici-jel-cikolata-aromali-125-ml
8681807005225,,Büyüvit Infectum 100 ml Takviye Edici Gıda,MCG PHARMA,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Bağışıklık Sistemi Güçlendirici Şuruplar,94,2,t,buyuvit-infectum-100-ml-takviye-edici-gida
8680133000751,,Magnimore Plus 120 Tablet,,Besin Takviyeleri > Minareller > Magnezyum Mineralleri > Magnezyum Malat,94,2,t,magnimore-plus-120-tablet
