gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
850077028496,,Ocean Methyl B12 Sprey 1000 mcg 5 ml,Ocean,Besin Takviyeleri > Vitamin > B Vitamini,515,2,t,ocean-methyl-b12-1000-mg-sprey-5-ml
8697432095616,,Nutraxin L-Carnitine 60 Kapsül,Nutraxin,Besin Takviyeleri > Takviye Edici Gıdalar > L- Karnitine,514,2,t,nutraxin-l-carnitine-700-mg-60-kapsul
8699546610044,,Bepanthol Eye Göz Damlası 10 ml,Bepanthol,Cilt Bakım > Yüz Bakımı > Göz Bakımı,512,2,t,bepanthol-eye-nemlendirici-goz-damlasi-10-ml
8680512628385,,Nutraxin Womens Multi Vitamin Complex 60 Tablet,Nutraxin,Besin Takviyeleri > Takviye Edici Gıdalar > Multivitamin,511,2,t,nutraxin-womens-multi-vitamin-complex-60-tablets
8693239212751,,Okey Rötar Prezervatif Ekonomik 20li,Okey,Kişisel Bakım > Cinsel Sağlık > Prezervatif,511,2,t,okey-rotar-20-adet
8680512614296,,Nutraxin Vitals Omega-3 + Co-Q10 60 Softgel,Nutraxin,Besin Takviyeleri > Takviye Edici Gıdalar > Koenzim Q10,510,3,t,nutraxin-omega-3-coq-10-60-kapsul
3662042001376,,Theapharma Nutrof Total 30 Kapsül,Thea Pharma,Besin Takviyeleri > Takviye Edici Gıdalar > Göz Vitamin Ve Minaralleri,509,3,t,theapharma-nutrof-total-30-kapsul
4015672111110,,Omron RS2 Bilekten Tansiyon Aleti,Omron,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Tansiyon Aleti,507,3,t,omron-rs2-bilekten-tansiyon-aleti
8680131758692,,Venatura Beta Glukan Ekinezya Kuşburnu C Vitamini çinko 30 Kapsül,VeNatura,Besin Takviyeleri > Mineral > Çinko,506,2,t,venatura-beta-glukan-ekinezya-kusburnu-vitamin-c-ve-cinko-30-kapsul
8690712026935,,Zade Vital Çörek Otu Yağı 150 ml,Zade Vital,Besin Takviyeleri > Takviye Edici Gıdalar > Bitkisel Ürünler,506,2,t,zade-vital-corek-otu-yagi-150-ml
8680512636014,,Nutraxin Vitamin B12 Sprey 15 ml,Nutraxin,Besin Takviyeleri > Vitamin > Vitamin B12,505,2,t,nutraxin-vitamin-b12-spray-15-ml
8680512613152,,Nutraxin Vitamin D3 1000 IU 120 Tablet,Nutraxin,Besin Takviyeleri > Takviye Edici Gıdalar,505,2,t,nutraxin-vitamin-d3-1000-iu-120-tablet
4015672113978,,Omron M6 Comfort AFib,Omron,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Tansiyon Aleti,505,3,t,omron-m6-comfort-afib
8690797105587,,Wee Baby Anne Sütü Saklama Poşeti 20li,Wee Baby,Anne Bebek > Emzirme > Süt Saklama Poşeti,505,2,t,wee-baby-anne-sutu-saklama-poseti-20li
8681227070681,,Artımed Nebulizatör Maske Seti Çocuk,Artımed,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Nebulizatör,504,2,t,artimed-nebulizator-maske-seti-cocuk
8680434323948,,Artımed Sargı Bezi 10 cm x 150 cm,Artımed,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Medikal Sarf Ürünleri,504,2,t,artimed-sargi-bezi-10-cm-x-150-cm
8680434324440,,Artımed İngiliz Karbonatı 100 gr,Artımed,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Karbonat,504,2,t,artimed-ingiliz-karbonati-100-gr
8681285105691,,B-Good Elastik Sargı Bezi 10cm x 2m Tekli,B-Good,Sağlık Ve Medikal > Ortopedi Ürünleri > Sargı ve Sargı Bezi,504,2,t,b-good-elastik-sargi-bezi-10cm-x-2m-tekli
